Rank,Seq Codes,Divisor,Bypass,c>7,A1 Wait,Always Bet,Div<1,Max Cap,Files,Success Rate,Turnover,Balance,Profit/Loss
155,"Standard (3, 4, 2)",16,Dis,Dis,Dis,Dis,Ena,20,169,69.8%,103493,4033,937
156,"Standard (3, 4, 2)",8,Dis,Dis,Dis,Dis,Ena,20,169,71.0%,112354,4020,936
157,"Standard (3, 4, 2)",32,Ena,Dis,Dis,Dis,Ena,25,169,69.8%,100951,4023,936
158,"Standard (3, 4, 2)",16,Dis,Dis,Dis,Dis,Dis,25,169,69.8%,105189,4020,936
159,"Standard (3, 4, 2)",8,Dis,Dis,Dis,Dis,Dis,20,169,71.0%,111290,4014,934
160,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,20,169,71.0%,112218,4007,934
161,"Standard (3, 4, 2)",16,Dis,Dis,Dis,Ena,Dis,20,169,69.8%,104577,4008,933
162,"Standard (3, 4, 2)",8,Dis,Dis,Dis,Ena,Ena,20,169,71.0%,114979,3995,933
163,"Standard (3, 4, 2)",8,Dis,Dis,Dis,Dis,Dis,25,169,71.0%,113466,4006,933
164,"Standard (3, 4, 2)",16,Ena,Dis,Dis,Ena,Dis,20,169,69.8%,104577,4008,933
165,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Ena,Ena,20,169,71.0%,114979,3995,933
166,"Standard (3, 4, 2)",8,Dis,Dis,Dis,Dis,Ena,25,169,71.0%,115250,4003,933
167,"Standard (3, 4, 2)",16,Ena,Dis,Dis,Dis,Dis,25,169,69.8%,105645,4006,932
168,"Standard (3, 4, 2)",16,Dis,Dis,Dis,Ena,Dis,25,169,69.8%,106509,4001,932
169,"Standard (3, 4, 2)",16,Ena,Dis,Dis,Dis,Dis,20,169,69.8%,103701,4013,932
170,"Standard (3, 4, 2)",16,Ena,Dis,Dis,Ena,Dis,25,169,69.8%,106509,4001,932
171,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Ena,Ena,25,169,71.0%,118143,3990,931
172,"Standard (3, 4, 2)",8,Dis,Dis,Dis,Ena,Ena,25,169,71.0%,118143,3990,931
173,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,25,169,71.0%,114334,3984,929
174,"Standard (3, 4, 2)",32,Dis,Dis,Dis,Dis,Ena,25,169,69.8%,100543,3977,925
175,"Alternative (8, 44, 10)",8,Dis,Dis,Dis,Ena,Dis,15,169,66.3%,187766,3947,925
176,"Alternative (8, 44, 10)",8,Ena,Dis,Dis,Ena,Dis,15,169,66.3%,187766,3947,925
177,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Ena,25,169,71.0%,116030,3963,924
178,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Ena,20,169,71.0%,113018,3963,923
179,"Standard (3, 4, 2)",32,Dis,Dis,Dis,Dis,Ena,30,169,69.8%,102175,3969,923
180,"Standard (3, 4, 2)",16,Dis,Dis,Dis,Dis,Ena,30,169,69.8%,107461,3963,922
181,"Standard (3, 4, 2)",16,Dis,Dis,Dis,Dis,Ena,25,169,69.8%,105797,3963,922
182,"Standard (3, 4, 2)",16,Dis,Dis,Ena,Dis,Dis,10,169,75.7%,71836,3905,915
183,"Standard (3, 4, 2)",16,Dis,Dis,Ena,Dis,Ena,10,169,75.7%,71836,3905,915
184,"Alternative (8, 44, 10)",8,Dis,Dis,Dis,Ena,Ena,15,169,66.3%,190766,3905,914
185,"Alternative (8, 44, 10)",8,Ena,Dis,Dis,Ena,Ena,15,169,66.3%,190766,3905,914
186,"Standard (3, 4, 2)",32,Dis,Dis,Dis,Ena,Ena,30,169,69.8%,103455,3921,914
187,"Standard (3, 4, 2)",16,Dis,Dis,Ena,Dis,Dis,15,169,75.7%,75692,3897,914
188,"Standard (3, 4, 2)",16,Dis,Dis,Ena,Dis,Ena,15,169,75.7%,75840,3897,914
189,"Standard (3, 4, 2)",32,Ena,Dis,Dis,Ena,Ena,30,169,69.8%,103455,3921,914
190,"Standard (3, 4, 2)",32,Ena,Dis,Dis,Dis,Ena,30,169,69.8%,102675,3929,912
191,"Standard (3, 4, 2)",32,Dis,Dis,Ena,Dis,Ena,10,169,75.7%,69276,3895,911
192,"Standard (3, 4, 2)",32,Dis,Dis,Ena,Dis,Dis,10,169,75.7%,69276,3895,911
193,"Standard (3, 4, 2)",16,Ena,Dis,Dis,Dis,Ena,30,169,69.8%,107437,3918,910
194,"Standard (3, 4, 2)",16,Dis,Dis,Dis,Ena,Ena,30,169,69.8%,108341,3918,910
195,"Standard (3, 4, 2)",16,Ena,Dis,Dis,Ena,Ena,30,169,69.8%,108341,3918,910
196,"Standard (3, 4, 2)",16,Ena,Dis,Ena,Dis,Dis,10,169,75.7%,72260,3879,909
197,"Standard (3, 4, 2)",16,Ena,Dis,Ena,Dis,Ena,10,169,75.7%,72260,3879,909
198,"Standard (3, 4, 2)",16,Ena,Dis,Ena,Dis,Ena,15,169,75.7%,76284,3871,908
199,"Standard (3, 4, 2)",32,Ena,Dis,Ena,Dis,Ena,10,169,75.7%,69496,3880,908
200,"Standard (3, 4, 2)",16,Ena,Dis,Ena,Dis,Dis,15,169,75.7%,76136,3871,908
201,"Standard (3, 4, 2)",16,Ena,Dis,Dis,Dis,Ena,25,169,69.8%,105837,3910,908
202,"Standard (3, 4, 2)",32,Ena,Dis,Ena,Dis,Dis,10,169,75.7%,69496,3880,908
203,"Alternative (8, 44, 10)",32,Dis,Dis,Dis,Ena,Ena,15,169,56.8%,149206,3881,908
204,"Standard (3, 4, 2)",16,Dis,Dis,Dis,Ena,Ena,25,169,69.8%,106769,3904,908
205,"Standard (3, 4, 2)",16,Ena,Dis,Dis,Ena,Ena,25,169,69.8%,106769,3904,908
206,"Alternative (8, 44, 10)",32,Ena,Dis,Dis,Ena,Ena,15,169,56.8%,149206,3881,908
207,"Standard (3, 4, 2)",32,Dis,Dis,Ena,Dis,Dis,15,169,75.7%,72608,3880,907
208,"Standard (3, 4, 2)",32,Dis,Dis,Ena,Dis,Ena,15,169,75.7%,72656,3880,907
209,"Standard (3, 4, 2)",16,Ena,Dis,Ena,Ena,Ena,10,169,75.7%,72788,3859,906
210,"Standard (3, 4, 2)",8,Dis,Dis,Ena,Dis,Ena,10,169,76.3%,76329,3882,906
211,"Alternative (8, 44, 10)",32,Ena,Dis,Dis,Ena,Dis,20,169,56.8%,153042,3871,906
212,"Standard (3, 4, 2)",8,Dis,Dis,Ena,Dis,Dis,10,169,76.3%,76329,3882,906
213,"Alternative (8, 44, 10)",32,Dis,Dis,Dis,Ena,Dis,20,169,56.8%,153042,3871,906
214,"Standard (3, 4, 2)",16,Ena,Dis,Ena,Ena,Dis,10,169,75.7%,72788,3859,906
215,"Standard (3, 4, 2)",16,Dis,Dis,Ena,Ena,Ena,10,169,75.7%,72788,3859,906
216,"Standard (3, 4, 2)",16,Dis,Dis,Ena,Ena,Dis,10,169,75.7%,72788,3859,906
217,"Standard (3, 4, 2)",16,Dis,Dis,Ena,Dis,Ena,20,169,75.7%,78588,3862,906
218,"Standard (3, 4, 2)",16,Dis,Dis,Ena,Dis,Dis,20,169,75.7%,78100,3862,906
219,"Standard (3, 4, 2)",32,Ena,Dis,Ena,Ena,Dis,10,169,75.7%,70024,3857,905
220,"Standard (3, 4, 2)",32,Dis,Dis,Ena,Ena,Ena,10,169,75.7%,70024,3857,905
221,"Standard (3, 4, 2)",8,Dis,Dis,Ena,Dis,Dis,15,169,76.3%,81081,3875,905
222,"Standard (3, 4, 2)",32,Dis,Dis,Ena,Ena,Dis,10,169,75.7%,70024,3857,905
223,"Standard (3, 4, 2)",32,Ena,Dis,Ena,Ena,Ena,10,169,75.7%,70024,3857,905
224,"Standard (3, 4, 2)",8,Dis,Dis,Ena,Dis,Ena,15,169,76.3%,81373,3875,905
225,"Standard (3, 4, 2)",32,Ena,Dis,Ena,Dis,Dis,15,169,75.7%,72824,3865,904
226,"Standard (3, 4, 2)",32,Ena,Dis,Ena,Dis,Ena,15,169,75.7%,72872,3865,904
227,"Standard (3, 4, 2)",32,Dis,Dis,Ena,Dis,Ena,20,169,75.7%,74932,3854,901
228,"Standard (3, 4, 2)",32,Dis,Dis,Ena,Dis,Dis,20,169,75.7%,74780,3854,901
229,"Standard (3, 4, 2)",16,Dis,Dis,Ena,Ena,Ena,15,169,75.7%,76808,3837,900
230,"Standard (3, 4, 2)",16,Ena,Dis,Ena,Ena,Ena,15,169,75.7%,76808,3837,900
231,"Standard (3, 4, 2)",16,Dis,Dis,Ena,Ena,Dis,15,169,75.7%,76660,3837,900
232,"Standard (3, 4, 2)",16,Ena,Dis,Ena,Ena,Dis,15,169,75.7%,76660,3837,900
233,"Standard (3, 4, 2)",16,Ena,Dis,Ena,Dis,Ena,20,169,75.7%,79008,3833,899
234,"Standard (3, 4, 2)",32,Dis,Dis,Ena,Ena,Ena,15,169,75.7%,73392,3837,899
235,"Standard (3, 4, 2)",16,Ena,Dis,Ena,Dis,Dis,20,169,75.7%,78520,3833,899
236,"Standard (3, 4, 2)",32,Ena,Dis,Ena,Ena,Ena,15,169,75.7%,73392,3837,899
237,"Standard (3, 4, 2)",32,Ena,Dis,Ena,Ena,Dis,15,169,75.7%,73344,3837,899
238,"Standard (3, 4, 2)",32,Dis,Dis,Ena,Ena,Dis,15,169,75.7%,73344,3837,899
239,"Standard (3, 4, 2)",32,Ena,Dis,Ena,Dis,Ena,20,169,75.7%,75128,3839,898
240,"Standard (3, 4, 2)",32,Ena,Dis,Ena,Dis,Dis,20,169,75.7%,74976,3839,898
241,"Standard (3, 4, 2)",16,Dis,Dis,Ena,Dis,Ena,25,169,75.7%,80676,3832,897
242,"Standard (3, 4, 2)",32,Dis,Dis,Ena,Ena,Ena,20,169,75.7%,75620,3822,897
243,"Standard (3, 4, 2)",32,Ena,Dis,Ena,Ena,Dis,20,169,75.7%,75468,3822,897
244,"Standard (3, 4, 2)",16,Dis,Dis,Ena,Dis,Dis,25,169,75.7%,79800,3832,897
245,"Standard (3, 4, 2)",32,Dis,Dis,Ena,Ena,Dis,20,169,75.7%,75468,3822,897
246,"Standard (3, 4, 2)",32,Ena,Dis,Ena,Ena,Ena,20,169,75.7%,75620,3822,897
247,"Standard (3, 4, 2)",8,Ena,Dis,Ena,Dis,Ena,10,169,76.3%,77005,3841,896
248,"Standard (3, 4, 2)",8,Ena,Dis,Ena,Dis,Dis,10,169,76.3%,76965,3841,896
