Date,File,Seq Codes,Divisor,Bypass,Sequences,Profit (Chips),Profit (Units),Worst Loss,Status
2025-10-31 08:08:00,2011-09-10_184.xls,"Alternative (8, 44, 10)",32,No,12,35,8,-316 chips,ACTIVE
2025-10-31 08:06:44,2011-09-05_163.xls,"Alternative (8, 44, 10)",32,No,7,19,4,-302 chips,ACTIVE
2025-10-31 08:05:37,2011-09-07_106.xls,"Alternative (8, 44, 10)",32,No,5,11,2,-263 chips,ACTIVE
2025-10-31 08:03:51,2011-09-21_130.xls,"Alternative (8, 44, 10)",32,No,6,16,4,-90 chips,ACTIVE
2025-10-31 07:59:54,2011-09-22_139.xls,"Alternative (8, 44, 10)",32,No,4,16,4,-470 chips,ACTIVE
2025-10-31 07:54:41,2011-10-02_263.xls,"Alternative (8, 44, 10)",32,No,14,38,9,-379 chips,ACTIVE
2025-10-31 07:17:38,2011-10-02_263.xls,"Alternative (8, 44, 10)",32,Yes,14,38,9,-599 chips,ACTIVE
2025-10-31 07:17:31,2011-10-02_263.xls,"Alternative (8, 44, 10)",16,Yes,14,33,8,-699 chips,ACTIVE
2025-10-31 07:17:25,2011-10-02_263.xls,"Alternative (8, 44, 10)",8,Yes,15,42,10,-733 chips,ACTIVE
2025-10-31 07:16:03,2011-10-01_203.xls,"Alternative (8, 44, 10)",32,Yes,10,27,6,-44 chips,ACTIVE
2025-10-31 07:15:56,2011-10-01_203.xls,"Alternative (8, 44, 10)",16,Yes,11,31,7,-7 chips,ACTIVE
2025-10-31 07:15:49,2011-10-01_203.xls,"Alternative (8, 44, 10)",8,Yes,11,27,6,-21 chips,ACTIVE
2025-10-29 13:18:00,2011-09-30_200.xls,"Alternative (8, 44, 10)",32,Yes,9,16,4,-7 chips,ACTIVE
2025-10-29 13:17:54,2011-09-30_200.xls,"Alternative (8, 44, 10)",16,Yes,9,16,4,-7 chips,ACTIVE
2025-10-29 13:17:47,2011-09-30_200.xls,"Alternative (8, 44, 10)",8,Yes,9,16,4,-7 chips,ACTIVE
2025-10-29 13:17:28,2011-09-29_87.xls,"Alternative (8, 44, 10)",32,Yes,9,16,4,-7 chips,ACTIVE
2025-10-29 13:17:22,2011-09-29_87.xls,"Alternative (8, 44, 10)",16,Yes,9,16,4,-7 chips,ACTIVE
2025-10-29 13:17:15,2011-09-29_87.xls,"Alternative (8, 44, 10)",8,Yes,9,16,4,-7 chips,ACTIVE
2025-10-29 13:16:54,2011-09-28_142.xls,"Alternative (8, 44, 10)",32,Yes,10,16,4,-57 chips,ACTIVE
2025-10-29 13:16:45,2011-09-28_142.xls,"Alternative (8, 44, 10)",16,Yes,10,17,4,-70 chips,ACTIVE
2025-10-29 13:16:38,2011-09-28_142.xls,"Alternative (8, 44, 10)",8,Yes,12,22,5,-7 chips,ACTIVE
2025-10-29 13:16:24,2011-09-27_72.xls,"Alternative (8, 44, 10)",32,Yes,5,9,2,-20 chips,ACTIVE
2025-10-29 13:16:17,2011-09-27_72.xls,"Alternative (8, 44, 10)",16,Yes,5,10,2,-20 chips,ACTIVE
2025-10-29 13:16:09,2011-09-27_72.xls,"Alternative (8, 44, 10)",8,Yes,5,7,1,-35 chips,ACTIVE
2025-10-29 13:15:48,2011-09-26_87.xls,"Alternative (8, 44, 10)",32,Yes,6,15,3,-36 chips,ACTIVE
2025-10-29 13:15:41,2011-09-26_87.xls,"Alternative (8, 44, 10)",16,Yes,6,16,4,-40 chips,ACTIVE
2025-10-29 13:15:27,2011-09-26_87.xls,"Alternative (8, 44, 10)",8,Yes,6,16,4,-17 chips,ACTIVE
2025-10-29 13:15:08,2011-09-24_189.xls,"Alternative (8, 44, 10)",32,Yes,15,42,10,-10 chips,ACTIVE
2025-10-29 13:15:00,2011-09-24_189.xls,"Alternative (8, 44, 10)",16,Yes,15,42,10,-10 chips,ACTIVE
2025-10-29 13:14:52,2011-09-24_189.xls,"Alternative (8, 44, 10)",8,Yes,15,38,9,-14 chips,ACTIVE
2025-10-29 13:14:37,2011-09-22_139.xls,"Alternative (8, 44, 10)",32,Yes,4,13,3,-398 chips,ACTIVE
2025-10-29 13:14:29,2011-09-22_139.xls,"Alternative (8, 44, 10)",16,Yes,4,13,3,-713 chips,ACTIVE
2025-10-29 13:14:23,2011-09-22_139.xls,"Alternative (8, 44, 10)",8,Yes,4,12,3,-954 chips,ACTIVE
2025-10-29 12:59:43,2011-09-21_130.xls,"Alternative (8, 44, 10)",32,Yes,6,12,3,-90 chips,ACTIVE
2025-10-29 12:59:36,2011-09-21_130.xls,"Alternative (8, 44, 10)",16,Yes,6,18,4,-163 chips,ACTIVE
2025-10-29 12:59:30,2011-09-21_130.xls,"Alternative (8, 44, 10)",8,Yes,6,20,5,-699 chips,ACTIVE
2025-10-29 12:59:08,2011-09-19_121.xls,"Alternative (8, 44, 10)",32,Yes,9,28,7,-10 chips,ACTIVE
2025-10-29 12:59:00,2011-09-19_121.xls,"Alternative (8, 44, 10)",16,Yes,9,28,7,-10 chips,ACTIVE
2025-10-29 12:58:54,2011-09-19_121.xls,"Alternative (8, 44, 10)",8,Yes,9,27,6,-10 chips,ACTIVE
2025-10-29 12:58:38,2011-09-18_160.xls,"Alternative (8, 44, 10)",32,Yes,11,26,6,-18 chips,ACTIVE
2025-10-29 12:58:29,2011-09-18_160.xls,"Alternative (8, 44, 10)",16,Yes,11,26,6,-42 chips,ACTIVE
2025-10-29 12:58:23,2011-09-18_160.xls,"Alternative (8, 44, 10)",8,Yes,11,26,6,-123 chips,ACTIVE
2025-10-29 12:58:08,2011-09-17_161.xls,"Alternative (8, 44, 10)",32,Yes,6,28,7,-61 chips,ACTIVE
2025-10-29 12:57:57,2011-09-17_161.xls,"Alternative (8, 44, 10)",16,Yes,6,30,7,-104 chips,ACTIVE
2025-10-29 12:57:50,2011-09-17_161.xls,"Alternative (8, 44, 10)",8,Yes,7,32,8,-12 chips,ACTIVE
2025-10-29 12:57:33,2011-09-16_169.xls,"Alternative (8, 44, 10)",32,Yes,11,31,7,-78 chips,ACTIVE
2025-10-29 12:57:24,2011-09-16_169.xls,"Alternative (8, 44, 10)",16,Yes,12,26,6,-138 chips,ACTIVE
2025-10-29 12:57:18,2011-09-16_169.xls,"Alternative (8, 44, 10)",8,Yes,11,32,8,-270 chips,ACTIVE
2025-10-29 12:57:01,2011-09-15_99.xls,"Alternative (8, 44, 10)",32,Yes,4,18,4,-41 chips,ACTIVE
2025-10-29 12:56:54,2011-09-15_99.xls,"Alternative (8, 44, 10)",16,Yes,4,18,4,-41 chips,ACTIVE
2025-10-29 12:56:48,2011-09-15_99.xls,"Alternative (8, 44, 10)",8,Yes,5,19,4,-23 chips,ACTIVE
2025-10-29 12:55:43,2011-09-14_160.xls,"Alternative (8, 44, 10)",32,Yes,8,25,6,-57 chips,ACTIVE
2025-10-29 12:55:36,2011-09-14_160.xls,"Alternative (8, 44, 10)",16,Yes,9,24,6,-57 chips,ACTIVE
2025-10-29 12:55:25,2011-09-14_160.xls,"Alternative (8, 44, 10)",8,Yes,9,29,7,-11 chips,ACTIVE
2025-10-29 12:54:34,2011-09-13_133.xls,"Alternative (8, 44, 10)",32,Yes,12,17,4,-13 chips,ACTIVE
2025-10-29 12:54:27,2011-09-13_133.xls,"Alternative (8, 44, 10)",16,Yes,12,17,4,-13 chips,ACTIVE
2025-10-29 12:54:20,2011-09-13_133.xls,"Alternative (8, 44, 10)",8,Yes,12,19,4,-21 chips,ACTIVE
2025-10-29 12:52:41,2011-09-12_174.xls,"Alternative (8, 44, 10)",32,Yes,12,38,9,-22 chips,ACTIVE
2025-10-29 12:52:32,2011-09-12_174.xls,"Alternative (8, 44, 10)",16,Yes,12,34,8,-22 chips,ACTIVE
2025-10-29 12:52:23,2011-09-12_174.xls,"Alternative (8, 44, 10)",8,Yes,12,34,8,-48 chips,ACTIVE
2025-10-29 12:50:48,2011-09-11_108.xls,"Alternative (8, 44, 10)",32,Yes,10,22,5,-1 chips,ACTIVE
2025-10-29 12:50:41,2011-09-11_108.xls,"Alternative (8, 44, 10)",16,Yes,10,22,5,-1 chips,ACTIVE
2025-10-29 12:50:07,2011-09-11_108.xls,"Alternative (8, 44, 10)",8,Yes,10,22,5,-1 chips,ACTIVE
2025-10-29 12:41:52,2011-09-10_184.xls,"Alternative (8, 44, 10)",32,Yes,12,35,8,-316 chips,ACTIVE
2025-10-29 12:41:39,2011-09-10_184.xls,"Alternative (8, 44, 10)",16,Yes,12,36,9,-367 chips,ACTIVE
2025-10-29 12:41:30,2011-09-10_184.xls,"Alternative (8, 44, 10)",8,Yes,13,38,9,-12 chips,ACTIVE
2025-10-29 12:40:37,2011-09-09_190.xls,"Alternative (8, 44, 10)",32,Yes,11,34,8,-25 chips,ACTIVE
2025-10-29 12:40:28,2011-09-09_190.xls,"Alternative (8, 44, 10)",16,Yes,11,34,8,-25 chips,ACTIVE
2025-10-29 12:40:20,2011-09-09_190.xls,"Alternative (8, 44, 10)",8,Yes,11,37,9,-37 chips,ACTIVE
2025-10-29 12:34:18,2011-09-08_169.xls,"Alternative (8, 44, 10)",32,Yes,9,30,7,-17 chips,ACTIVE
2025-10-29 12:34:12,2011-09-08_169.xls,"Alternative (8, 44, 10)",16,Yes,9,29,7,-35 chips,ACTIVE
2025-10-29 12:34:05,2011-09-08_169.xls,"Alternative (8, 44, 10)",8,Yes,9,32,8,-75 chips,ACTIVE
2025-10-29 12:32:02,2011-09-04_124.xls,"Alternative (8, 44, 10)",32,Yes,9,21,5,-42 chips,ACTIVE
2025-10-29 12:31:56,2011-09-04_124.xls,"Alternative (8, 44, 10)",16,Yes,9,22,5,-16 chips,ACTIVE
2025-10-29 12:31:48,2011-09-04_124.xls,"Alternative (8, 44, 10)",8,Yes,9,19,4,-16 chips,ACTIVE
2025-10-29 12:30:07,2011-09-03_86.xls,"Alternative (8, 44, 10)",32,Yes,4,11,2,-13 chips,ACTIVE
2025-10-29 12:29:59,2011-09-03_86.xls,"Alternative (8, 44, 10)",16,Yes,4,11,2,-13 chips,ACTIVE
2025-10-29 12:29:48,2011-09-03_86.xls,"Alternative (8, 44, 10)",8,Yes,4,12,3,-16 chips,ACTIVE
2025-10-29 12:24:55,2011-09-07_106.xls,"Alternative (8, 44, 10)",32,Yes,5,11,2,-263 chips,ACTIVE
2025-10-29 12:24:46,2011-09-07_106.xls,"Alternative (8, 44, 10)",16,Yes,5,10,2,-359 chips,ACTIVE
2025-10-29 12:24:39,2011-09-07_106.xls,"Alternative (8, 44, 10)",8,Yes,5,10,2,-419 chips,ACTIVE
2025-10-29 12:22:10,2011-09-06_134.xls,"Alternative (8, 44, 10)",32,Yes,7,24,6,-57 chips,ACTIVE
2025-10-29 12:22:01,2011-09-06_134.xls,"Alternative (8, 44, 10)",16,Yes,8,22,5,-45 chips,ACTIVE
2025-10-29 12:21:53,2011-09-06_134.xls,"Alternative (8, 44, 10)",8,Yes,7,27,6,-74 chips,ACTIVE
2025-10-29 12:19:59,2011-09-05_163.xls,"Alternative (8, 44, 10)",32,Yes,7,22,5,-248 chips,ACTIVE
2025-10-29 12:19:52,2011-09-05_163.xls,"Alternative (8, 44, 10)",16,Yes,7,19,4,-383 chips,ACTIVE
2025-10-29 12:17:42,2011-09-05_163.xls,"Alternative (8, 44, 10)",8,Yes,9,29,7,-7 chips,ACTIVE
2025-10-29 12:16:18,2011-09-02_203.xls,"Alternative (8, 44, 10)",32,Yes,8,21,5,-14 chips,ACTIVE
2025-10-29 12:13:57,2011-09-02_203.xls,"Alternative (8, 44, 10)",16,Yes,8,21,5,-14 chips,ACTIVE
2025-10-29 12:05:42,2011-09-02_203.xls,"Alternative (8, 44, 10)",8,Yes,8,21,5,-9 chips,ACTIVE
